Time_sec,X_2d_X,X_2d_Y,PupilDiameter,GazeOrigin_X,GazeOrigin_Y,GazeOrigin_Z,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,CameraDirection_X,CameraDirection_Y,CameraDirection_Z,CameraOrigin_X,CameraOrigin_Y,CameraOrigin_Z
0.515872,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.532439,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.548844,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.565787,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.582358,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.598809,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.615702,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.632277,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.648677,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.665615,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.682196,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.698642,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.71553,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.732115,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.748607,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.765444,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.782034,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.798476,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.81536,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.831953,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.848441,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.865275,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.881872,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.898309,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.915188,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.931792,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.948274,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.965103,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.981711,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
0.998143,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.015017,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.03163,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.048108,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.064932,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.081549,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.097978,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.114943,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.131468,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.147845,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.164858,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.181387,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.19781,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.214771,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.231306,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.247775,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.264687,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.281225,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.297644,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.314601,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.331144,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.347609,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.364612,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.381063,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.397477,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.414431,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.430983,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.447442,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.464344,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.480902,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.497311,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.514259,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.530821,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.547276,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.564173,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.58074,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.597242,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.614088,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.630659,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.647111,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.664099,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.680578,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.697076,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.714014,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.730497,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.746943,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.764026,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.780416,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.796909,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.813939,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.830335,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.846777,1.146574,1.044214,4.727493,7656.112,927.718,-1049.222,-0.3953132,-0.4889184,0.7776158,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.86395,1.010748,0.8839794,4.666,7656.091,927.7715,-1049.305,-0.5086686,-0.4554721,0.7306172,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.880254,0.7949195,0.5955007,4.636536,7656.055,927.8679,-1049.435,-0.75819,-0.3138424,0.5715337,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.896742,0.689446,0.4867203,4.612175,7656.041,927.9042,-1049.499,-0.8745009,-0.2306057,0.4266956,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.913768,0.569519,0.3919896,4.617508,7656.027,927.9359,-1049.572,-0.9675862,-0.1393648,0.2106048,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.930174,0.5576825,0.3975764,4.641838,7656.027,927.934,-1049.58,-0.9713515,-0.1460415,0.1874785,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.946707,0.5630058,0.4022181,4.625084,7656.027,927.9325,-1049.576,-0.968533,-0.1509539,0.1978806,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.963683,0.5589279,0.4046196,4.617424,7656.027,927.9317,-1049.579,-0.9696789,-0.1537795,0.1899335,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.980093,0.5603452,0.4018077,4.606293,7656.027,927.9326,-1049.578,-0.9695872,-0.1507574,0.1928027,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
1.996672,0.560362,0.3952699,4.586365,7656.027,927.9348,-1049.578,-0.9707075,-0.1434204,0.1927631,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.013694,0.5633245,0.4047036,4.591057,7656.028,927.9316,-1049.576,-0.9679497,-0.1537779,0.1985589,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.030012,0.5633632,0.4077074,4.580971,7656.028,927.9306,-1049.576,-0.967382,-0.1572081,0.1986398,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.046638,0.564517,0.4022456,4.572655,7656.027,927.9324,-1049.575,-0.9678517,-0.1511179,0.2010631,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.063609,0.5628275,0.4032514,4.575317,7656.027,927.9321,-1049.576,-0.9683658,-0.1522807,0.1976822,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.079931,0.5613872,0.3987497,4.562965,7656.027,927.9337,-1049.577,-0.9697244,-0.1472637,0.1948023,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.096603,0.5629456,0.4022278,4.56028,7656.027,927.9325,-1049.576,-0.9685385,-0.1510751,0.1977616,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.113522,0.5661505,0.423548,4.574852,7656.029,927.9254,-1049.575,-0.9632493,-0.1746544,0.2040752,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.12985,0.5666273,0.4200244,4.569633,7656.029,927.9266,-1049.574,-0.9637455,-0.1707204,0.205059,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
2.146471,0.5654361,0.4194743,4.561722,7656.029,927.9267,-1049.575,-0.9643174,-0.1702199,0.2027735,-0.9624248,-0.2623872,0.06994079,7656.323,927.9785,-1049.637
